"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","userDeletesEmailByIdTesting","","Thu Mar 19 03:43:34 UTC 2026","broken","Thu Mar 19 03:43:34 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","2298","newUserGetEmptyEmailsListTesting","","Thu Mar 19 03:43:31 UTC 2026","broken","Thu Mar 19 03:43:33 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","4","userGetsNotEmptyEmailsTesting","","Thu Mar 19 03:43:34 UTC 2026","broken","Thu Mar 19 03:43:34 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","3","shouldNotBePossibleCreateExistingUserTesting","","Thu Mar 19 03:43:34 UTC 2026","broken","Thu Mar 19 03:43:34 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","3","userGetsEmailByIdTesting","","Thu Mar 19 03:43:34 UTC 2026","broken","Thu Mar 19 03:43:34 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","2","shouldBePossibleCreateNewUserTesting","","Thu Mar 19 03:43:34 UTC 2026","broken","Thu Mar 19 03:43:34 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
