"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","shouldBePossibleCreateNewUserTesting","","Sun Jan 18 03:08:45 UTC 2026","broken","Sun Jan 18 03:08:45 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","6","userGetsNotEmptyEmailsTesting","","Sun Jan 18 03:08:45 UTC 2026","broken","Sun Jan 18 03:08:45 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","3","userDeletesEmailByIdTesting","","Sun Jan 18 03:08:45 UTC 2026","broken","Sun Jan 18 03:08:45 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","3","shouldNotBePossibleCreateExistingUserTesting","","Sun Jan 18 03:08:45 UTC 2026","broken","Sun Jan 18 03:08:45 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","4","userGetsEmailByIdTesting","","Sun Jan 18 03:08:45 UTC 2026","broken","Sun Jan 18 03:08:45 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","2362","newUserGetEmptyEmailsListTesting","","Sun Jan 18 03:08:42 UTC 2026","broken","Sun Jan 18 03:08:45 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
