"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","userDeletesEmailByIdTesting","","Fri Dec 12 02:55:04 UTC 2025","broken","Fri Dec 12 02:55:04 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","2","shouldBePossibleCreateNewUserTesting","","Fri Dec 12 02:55:04 UTC 2025","broken","Fri Dec 12 02:55:04 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","3","userGetsNotEmptyEmailsTesting","","Fri Dec 12 02:55:04 UTC 2025","broken","Fri Dec 12 02:55:04 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","2339","newUserGetEmptyEmailsListTesting","","Fri Dec 12 02:55:02 UTC 2025","broken","Fri Dec 12 02:55:04 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","4","shouldNotBePossibleCreateExistingUserTesting","","Fri Dec 12 02:55:04 UTC 2025","broken","Fri Dec 12 02:55:04 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","3","userGetsEmailByIdTesting","","Fri Dec 12 02:55:04 UTC 2025","broken","Fri Dec 12 02:55:04 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
