"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","shouldBePossibleCreateNewUserTesting","","Thu Aug 21 02:41:48 UTC 2025","broken","Thu Aug 21 02:41:48 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","7","userGetsNotEmptyEmailsTesting","","Thu Aug 21 02:41:48 UTC 2025","broken","Thu Aug 21 02:41:48 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","3","shouldNotBePossibleCreateExistingUserTesting","","Thu Aug 21 02:41:48 UTC 2025","broken","Thu Aug 21 02:41:48 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","3","userGetsEmailByIdTesting","","Thu Aug 21 02:41:48 UTC 2025","broken","Thu Aug 21 02:41:48 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","3","userDeletesEmailByIdTesting","","Thu Aug 21 02:41:48 UTC 2025","broken","Thu Aug 21 02:41:48 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","2144","newUserGetEmptyEmailsListTesting","","Thu Aug 21 02:41:45 UTC 2025","broken","Thu Aug 21 02:41:47 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
