"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","userGetsNotEmptyEmailsTesting","","Mon Nov 17 02:47:57 UTC 2025","broken","Mon Nov 17 02:47:57 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","2","shouldBePossibleCreateNewUserTesting","","Mon Nov 17 02:47:57 UTC 2025","broken","Mon Nov 17 02:47:57 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","2442","newUserGetEmptyEmailsListTesting","","Mon Nov 17 02:47:55 UTC 2025","broken","Mon Nov 17 02:47:57 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","3","userDeletesEmailByIdTesting","","Mon Nov 17 02:47:57 UTC 2025","broken","Mon Nov 17 02:47:57 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","4","shouldNotBePossibleCreateExistingUserTesting","","Mon Nov 17 02:47:57 UTC 2025","broken","Mon Nov 17 02:47:57 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","2","userGetsEmailByIdTesting","","Mon Nov 17 02:47:57 UTC 2025","broken","Mon Nov 17 02:47:57 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
