"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2263","newUserGetEmptyEmailsListTesting","","Thu Apr 30 04:36:43 UTC 2026","broken","Thu Apr 30 04:36:45 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","4","userGetsNotEmptyEmailsTesting","","Thu Apr 30 04:36:45 UTC 2026","broken","Thu Apr 30 04:36:45 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","3","userDeletesEmailByIdTesting","","Thu Apr 30 04:36:46 UTC 2026","broken","Thu Apr 30 04:36:46 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","2","shouldBePossibleCreateNewUserTesting","","Thu Apr 30 04:36:46 UTC 2026","broken","Thu Apr 30 04:36:46 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","3","shouldNotBePossibleCreateExistingUserTesting","","Thu Apr 30 04:36:46 UTC 2026","broken","Thu Apr 30 04:36:46 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","3","userGetsEmailByIdTesting","","Thu Apr 30 04:36:46 UTC 2026","broken","Thu Apr 30 04:36:46 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
