"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","shouldBePossibleCreateNewUserTesting","","Thu Jul 17 02:59:03 GMT 2025","broken","Thu Jul 17 02:59:03 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","4","shouldNotBePossibleCreateExistingUserTesting","","Thu Jul 17 02:59:03 GMT 2025","broken","Thu Jul 17 02:59:03 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","4","userDeletesEmailByIdTesting","","Thu Jul 17 02:59:03 GMT 2025","broken","Thu Jul 17 02:59:03 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","2316","newUserGetEmptyEmailsListTesting","","Thu Jul 17 02:59:00 GMT 2025","broken","Thu Jul 17 02:59:02 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","3","userGetsEmailByIdTesting","","Thu Jul 17 02:59:03 GMT 2025","broken","Thu Jul 17 02:59:03 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","5","userGetsNotEmptyEmailsTesting","","Thu Jul 17 02:59:03 GMT 2025","broken","Thu Jul 17 02:59:03 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
