"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4239","userGetsNotEmptyEmailsTesting","","Sun May 18 02:50:21 GMT 2025","passed","Sun May 18 02:50:26 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","5114","newUserGetEmptyEmailsListTesting","","Sun May 18 02:50:16 GMT 2025","passed","Sun May 18 02:50:21 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","6170","userDeletesEmailByIdTesting","","Sun May 18 02:50:27 GMT 2025","passed","Sun May 18 02:50:34 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","1710","shouldNotBePossibleCreateExistingUserTesting","","Sun May 18 02:50:26 GMT 2025","passed","Sun May 18 02:50:27 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","5098","userGetsEmailByIdTesting","","Sun May 18 02:50:34 GMT 2025","passed","Sun May 18 02:50:39 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","2211","shouldBePossibleCreateNewUserTesting","","Sun May 18 02:50:39 GMT 2025","passed","Sun May 18 02:50:41 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
