"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","userGetsNotEmptyEmailsTesting","","2026-06-28","broken","2026-06-28","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","3","userDeletesEmailByIdTesting","","2026-06-28","broken","2026-06-28","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","3","shouldNotBePossibleCreateExistingUserTesting","","2026-06-28","broken","2026-06-28","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","3","userGetsEmailByIdTesting","","2026-06-28","broken","2026-06-28","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","2294","newUserGetEmptyEmailsListTesting","","2026-06-28","broken","2026-06-28","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","3","shouldBePossibleCreateNewUserTesting","","2026-06-28","broken","2026-06-28","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
