"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","userGetsEmailByIdTesting","","Sat Jan 10 02:54:47 UTC 2026","broken","Sat Jan 10 02:54:47 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","2033","newUserGetEmptyEmailsListTesting","","Sat Jan 10 02:54:45 UTC 2026","broken","Sat Jan 10 02:54:47 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","3","userDeletesEmailByIdTesting","","Sat Jan 10 02:54:47 UTC 2026","broken","Sat Jan 10 02:54:47 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","4","shouldNotBePossibleCreateExistingUserTesting","","Sat Jan 10 02:54:47 UTC 2026","broken","Sat Jan 10 02:54:47 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","3","shouldBePossibleCreateNewUserTesting","","Sat Jan 10 02:54:47 UTC 2026","broken","Sat Jan 10 02:54:47 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","4","userGetsNotEmptyEmailsTesting","","Sat Jan 10 02:54:47 UTC 2026","broken","Sat Jan 10 02:54:47 UTC 2026","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
