"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","userGetsEmailByIdTesting","","Wed Sep 24 02:24:35 UTC 2025","broken","Wed Sep 24 02:24:35 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","2","shouldBePossibleCreateNewUserTesting","","Wed Sep 24 02:24:35 UTC 2025","broken","Wed Sep 24 02:24:35 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","4","userGetsNotEmptyEmailsTesting","","Wed Sep 24 02:24:35 UTC 2025","broken","Wed Sep 24 02:24:35 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","4","shouldNotBePossibleCreateExistingUserTesting","","Wed Sep 24 02:24:35 UTC 2025","broken","Wed Sep 24 02:24:35 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","2485","newUserGetEmptyEmailsListTesting","","Wed Sep 24 02:24:33 UTC 2025","broken","Wed Sep 24 02:24:35 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","4","userDeletesEmailByIdTesting","","Wed Sep 24 02:24:35 UTC 2025","broken","Wed Sep 24 02:24:35 UTC 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
