"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5955","userGetsEmailByIdTesting","","Sun May 11 02:47:45 GMT 2025","passed","Sun May 11 02:47:51 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","1979","shouldNotBePossibleCreateExistingUserTesting","","Sun May 11 02:47:36 GMT 2025","passed","Sun May 11 02:47:38 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","1904","shouldBePossibleCreateNewUserTesting","","Sun May 11 02:47:51 GMT 2025","passed","Sun May 11 02:47:53 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","7628","userDeletesEmailByIdTesting","","Sun May 11 02:47:38 GMT 2025","passed","Sun May 11 02:47:45 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
"","4935","userGetsNotEmptyEmailsTesting","","Sun May 11 02:47:31 GMT 2025","passed","Sun May 11 02:47:36 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","5604","newUserGetEmptyEmailsListTesting","","Sun May 11 02:47:25 GMT 2025","passed","Sun May 11 02:47:31 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
