"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4784","userGetsEmailByIdTesting","","Fri Apr 18 02:34:36 GMT 2025","passed","Fri Apr 18 02:34:41 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsEmailByIdTesting"
"","4146","userGetsNotEmptyEmailsTesting","","Fri Apr 18 02:34:23 GMT 2025","passed","Fri Apr 18 02:34:28 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userGetsNotEmptyEmailsTesting"
"","2065","shouldNotBePossibleCreateExistingUserTesting","","Fri Apr 18 02:34:28 GMT 2025","passed","Fri Apr 18 02:34:30 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldNotBePossibleCreateExistingUserTesting"
"","1768","shouldBePossibleCreateNewUserTesting","","Fri Apr 18 02:34:41 GMT 2025","passed","Fri Apr 18 02:34:43 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","shouldBePossibleCreateNewUserTesting"
"","5228","newUserGetEmptyEmailsListTesting","","Fri Apr 18 02:34:18 GMT 2025","passed","Fri Apr 18 02:34:23 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","newUserGetEmptyEmailsListTesting"
"","6614","userDeletesEmailByIdTesting","","Fri Apr 18 02:34:30 GMT 2025","passed","Fri Apr 18 02:34:36 GMT 2025","","org.example.tests.ApiTesting","org.example.tests.ApiTesting","userDeletesEmailByIdTesting"
